;account_id;match_id;team_id;role;datetime;win;win_prob;prediction;isCorrect
72;311360822;3149572447;2586976;2.0;30.04.2017 22:09:06;True;0.998941788434;True;True
73;85937380;3145229865;3580606;2.0;28.04.2017 21:29:36;False;0.0764704655131;False;True
81;111620041;3137325049;39;2.0;24.04.2017 12:42:22;False;0.0417138253172;False;True
87;205813150;3103296626;5;2.0;07.04.2017 13:58:42;True;0.940930970967;True;True
88;168028715;3101519863;2626685;2.0;06.04.2017 15:36:45;False;0.904092767384;True;False
103;205813150;3072575087;5;2.0;23.03.2017 14:20:15;True;0.999147786731;True;True
108;205813150;3062585246;5;2.0;18.03.2017 16:17:21;True;0.939974964801;True;True
111;95825708;3053885953;2672298;2.0;14.03.2017 02:38:33;True;0.996685591953;True;True
113;70388657;3053424880;36;2.0;13.03.2017 19:25:39;False;0.0585577156023;False;True
114;184950344;3052509281;2108395;2.0;13.03.2017 10:28:39;True;0.966158191795;True;True
116;184950344;3052353620;2108395;2.0;13.03.2017 08:15:07;True;0.999803621648;True;True
117;106573901;3051727030;1883502;2.0;12.03.2017 21:18:46;True;0.997303967865;True;True
122;178096221;3049909705;3258149;2.0;12.03.2017 05:03:55;False;0.0498293677563;False;True
125;106573901;3046345475;1883502;2.0;10.03.2017 15:50:45;True;0.975876137712;True;True
326;311360822;3144437316;2586976;2.0;28.04.2017 14:13:02;True;0.989429069319;True;True
330;106573901;3137652123;1883502;2.0;24.04.2017 16:08:11;True;0.965599949867;True;True
332;113457795;3119752275;2659468;2.0;15.04.2017 15:35:46;True;0.999553791228;True;True
334;90882159;3103202346;3331948;2.0;07.04.2017 13:02:07;False;0.326504472313;False;True
338;173880329;3082843379;2640025;2.0;28.03.2017 11:46:07;False;0.0778985233628;False;True
341;107803494;3072270553;726228;2.0;23.03.2017 11:05:10;False;0.565693082038;True;False
342;137272985;3069061039;3547682;2.0;21.03.2017 17:08:55;False;0.305512464983;False;True
347;173880329;3058038253;2640025;2.0;16.03.2017 11:54:28;True;0.54086620738;True;True
350;173880329;3052498927;2640025;2.0;13.03.2017 10:20:38;True;0.949034040812;True;True
351;95825708;3052006640;2672298;2.0;13.03.2017 01:24:39;True;0.994567035731;True;True
353;106573901;3051542593;1883502;2.0;12.03.2017 19:23:24;False;0.494965310358;False;True
355;12231202;3051343554;111474;2.0;12.03.2017 17:40:49;False;0.555744608636;True;False
358;85937380;3049710175;3580606;2.0;12.03.2017 01:34:26;False;0.118599867944;False;True
361;86799300;3048765406;3722485;2.0;11.03.2017 16:48:42;True;0.93245238919;True;True
363;116585378;3046719189;1838315;2.0;10.03.2017 18:37:20;True;0.984155092752;True;True
364;86799300;3046557945;3722485;2.0;10.03.2017 17:24:18;True;0.976740959485;True;True
365;184950344;3046496478;2108395;2.0;10.03.2017 16:57:40;False;0.263278818802;False;True
366;86799300;3046141297;3722485;2.0;10.03.2017 14:08:11;True;0.929347459127;True;True
455;98172857;3085655138;2552670;2.0;29.03.2017 20:11:36;False;0.726534097663;True;False
521;106573901;3048503481;1883502;2.0;11.03.2017 14:59:20;True;0.983447460598;True;True
537;100471531;3146730782;3326875;2.0;29.04.2017 16:11:16;False;0.185758209154;False;True
542;154715080;3139957604;2512249;2.0;25.04.2017 22:20:06;False;0.0167890739885;False;True
543;311360822;3139768515;2586976;2.0;25.04.2017 19:51:15;True;0.993579738884;True;True
545;149486894;3119672623;1375614;2.0;15.04.2017 14:57:40;True;0.999377966938;True;True
546;173880329;3119032036;2640025;2.0;15.04.2017 09:00:20;False;0.0673611381877;False;True
547;192914280;3117946839;543897;2.0;14.04.2017 18:16:07;False;0.11300491129;False;True
548;137272985;3117566878;3547682;2.0;14.04.2017 15:19:18;False;0.186834135778;False;True
549;137272985;3117463033;3547682;2.0;14.04.2017 14:23:00;False;0.41565381266;False;True
550;119939006;3110234942;1105664;2.0;10.04.2017 16:52:18;False;0.522181708698;True;False
551;119939006;3110137206;1105664;2.0;10.04.2017 16:05:02;False;0.133879122177;False;True
553;113457795;3106109681;2659468;2.0;08.04.2017 17:55:26;False;0.456432347316;False;True
554;149486894;3105100845;1375614;2.0;08.04.2017 09:58:58;True;0.997484006558;True;True
555;205813150;3103523157;5;2.0;07.04.2017 15:52:33;False;0.397215540422;False;True
556;205813150;3103202346;5;2.0;07.04.2017 13:02:07;True;0.995714005241;True;True
557;137272985;3101196298;3547682;2.0;06.04.2017 12:30:49;False;0.0291351052346;False;True
558;173880329;3100765591;2640025;2.0;06.04.2017 07:14:05;True;0.999047377286;True;True
559;311360822;3097027819;2586976;2.0;04.04.2017 09:00:12;False;0.243482618062;False;True
560;205813150;3096748100;5;2.0;04.04.2017 05:07:47;True;0.998823378203;True;True
561;149486894;3095399977;1375614;2.0;03.04.2017 13:03:09;True;0.998063652723;True;True
562;311360822;3095014807;2586976;2.0;03.04.2017 08:47:44;True;0.995718051224;True;True
563;149486894;3094916518;1375614;2.0;03.04.2017 07:27:53;True;0.99946817666;True;True
