;account_id;match_id;team_id;role;datetime;win;win_prob;prediction;isCorrect
0;82327674;3372726385;1375614;1.0;13.08.2017 03:12:57;False;0.5473278832217753;True;False
6;82327674;3362390555;1375614;1.0;08.08.2017 01:14:35;True;0.5981258754312458;True;True
7;82327674;3358205135;1375614;1.0;05.08.2017 23:50:33;True;0.6158001814599642;True;True
8;82327674;3358105051;1375614;1.0;05.08.2017 22:26:41;True;0.45565844760009727;False;False
15;82327674;3356148145;1375614;1.0;05.08.2017 01:39:36;True;0.36107945055460294;False;False
23;82327674;3354120039;1375614;1.0;04.08.2017 00:21:27;True;0.9476027732104854;True;True
31;82327674;3352200165;1375614;1.0;02.08.2017 22:32:24;False;0.21522098364016162;False;True
32;82327674;3352140562;1375614;1.0;02.08.2017 21:37:52;True;0.9704957883157131;True;True
103;82327674;3372676225;1375614;1.0;13.08.2017 02:13:08;False;0.41918870559551846;False;True
122;82327674;3356100221;1375614;1.0;05.08.2017 00:45:36;True;0.6850920184158237;True;True
134;82327674;3353737069;1375614;1.0;03.08.2017 19:01:52;True;0.575797358019552;True;True
139;82327674;3352382741;1375614;1.0;03.08.2017 01:58:07;True;0.7861668674728042;True;True
152;72312627;3372726385;2163;1.0;13.08.2017 03:12:57;True;0.9064059967007879;True;True
153;72312627;3372676225;2163;1.0;13.08.2017 02:13:08;True;0.8346878121811367;True;True
154;72312627;3370307979;2163;1.0;12.08.2017 02:59:20;True;0.6546248416632776;True;True
155;19672354;3368387319;2586976;1.0;11.08.2017 06:20:14;False;0.1016978350961456;False;True
156;132851371;3368249009;1883502;1.0;11.08.2017 03:39:37;True;0.8838897503918616;True;True
160;19672354;3365858882;2586976;1.0;09.08.2017 20:30:02;True;0.566930125247859;True;True
161;72312627;3364351128;2163;1.0;09.08.2017 03:09:04;True;0.6481632974539354;True;True
165;90892734;3358299746;5;1.0;06.08.2017 01:15:54;False;0.3565081512989086;False;True
166;72312627;3358109772;2163;1.0;05.08.2017 22:28:45;True;0.8785046641083241;True;True
168;86745912;3358044227;39;1.0;05.08.2017 21:40:15;True;0.5446481627776091;True;True
170;72312627;3356308437;2163;1.0;05.08.2017 04:53:06;True;0.9446677570869397;True;True
171;19672354;3356137447;2586976;1.0;05.08.2017 01:31:02;True;0.8150637490910293;True;True
172;86751819;3356100221;1846548;1.0;05.08.2017 00:45:36;False;0.07203396540437718;False;True
173;72312627;3356044327;2163;1.0;04.08.2017 23:49:37;True;0.9583265730920791;True;True
174;101450083;3356007093;1838315;1.0;04.08.2017 23:25:41;True;0.8025894287853715;True;True
175;132851371;3354159000;1883502;1.0;04.08.2017 01:02:49;True;0.847117246352901;True;True
176;86725175;3352501269;46;1.0;03.08.2017 04:48:13;False;0.018948318186547485;False;True
178;101450083;3352320088;1838315;1.0;03.08.2017 00:36:45;False;0.2538302572933009;False;True
179;86745912;3352291980;39;1.0;03.08.2017 00:02:08;True;0.6301811027728832;True;True
181;90892734;3352140562;5;1.0;02.08.2017 21:37:52;False;0.17819896517013628;False;True
182;101450083;3351993496;1838315;1.0;02.08.2017 19:26:10;False;0.2798977462752617;False;True
183;72312627;3351961375;2163;1.0;02.08.2017 19:06:08;True;0.5636337996260856;True;True
186;72312627;3372455628;2163;1.0;12.08.2017 22:53:26;True;0.4817818985512603;False;False
187;72312627;3372386596;2163;1.0;12.08.2017 21:59:04;True;0.8871111745821156;True;True
189;72312627;3368300783;2163;1.0;11.08.2017 04:44:30;True;0.4073099888876977;False;False
190;132851371;3368158118;1883502;1.0;11.08.2017 01:32:37;False;0.7548356736672244;True;False
201;180012313;3355938154;2581813;1.0;04.08.2017 22:20:17;False;0.07733802240515919;False;True
205;86745912;3352462460;39;1.0;03.08.2017 03:54:42;False;0.22106741583497722;False;True
206;132851371;3352383050;1883502;1.0;03.08.2017 01:59:51;True;0.8251498116521383;True;True
207;180012313;3352323980;2581813;1.0;03.08.2017 00:38:48;True;0.813076672117284;True;True
308;19672354;3368083254;2586976;1.0;11.08.2017 00:10:11;False;0.05167759866731434;False;True
309;86751819;3358228417;1846548;1.0;06.08.2017 00:07:41;False;0.04044746832641886;False;True
310;180012313;3357781916;2581813;1.0;05.08.2017 19:00:22;True;0.9711753845254106;True;True
311;90892734;3355944219;5;1.0;04.08.2017 22:29:17;True;0.8952356900093489;True;True
312;43276219;3352190511;1333179;1.0;02.08.2017 22:23:57;False;0.010037089480489703;False;True
313;43276219;3352119361;1333179;1.0;02.08.2017 21:10:35;False;0.11270962712978126;False;True
314;132309493;3351963840;2108395;1.0;02.08.2017 19:01:53;False;0.17087489316689453;False;True
324;19672354;3358183864;2586976;1.0;05.08.2017 23:30:32;False;0.037076669457155285;False;True
327;19672354;3357781916;2586976;1.0;05.08.2017 19:00:22;False;0.05770341493425227;False;True
336;19672354;3354118306;2586976;1.0;04.08.2017 00:19:03;True;0.8357182620953553;True;True
340;19672354;3352405556;2586976;1.0;03.08.2017 02:37:30;True;0.7266279072997793;True;True
346;86725175;3367897602;46;1.0;10.08.2017 21:27:56;False;0.46425360890289014;False;True
349;180012313;3356274394;2581813;1.0;05.08.2017 04:19:59;False;0.133835010869449;False;True
351;132309493;3356203606;2108395;1.0;05.08.2017 02:51:29;True;0.613137236643707;True;True
352;86725175;3356083896;46;1.0;05.08.2017 00:30:57;False;0.29020389515577477;False;True
353;132851371;3354101340;1883502;1.0;04.08.2017 00:06:05;False;0.08131512293233217;False;True
354;132851371;3353838092;1883502;1.0;03.08.2017 20:14:37;False;0.04204292634161288;False;True
363;137193239;3357986778;2640025;1.0;05.08.2017 20:59:53;False;0.019925800967183018;False;True
402;101450083;3364267872;1838315;1.0;09.08.2017 01:16:50;True;0.833170155690999;True;True
456;82327674;3353852872;1375614;1.0;03.08.2017 20:26:53;False;0.3431340707040345;False;True
527;90892734;3366236403;5;1.0;10.08.2017 02:21:53;True;0.9238220425501698;True;True
529;19672354;3357885749;2586976;1.0;05.08.2017 19:55:42;True;0.670738977254247;True;True
532;90892734;3354123160;5;1.0;04.08.2017 00:29:10;False;0.03293625488509912;False;True
534;148215639;3352409888;3331948;1.0;03.08.2017 02:36:05;True;0.9026208711310034;True;True
624;82327674;3372622939;1375614;1.0;13.08.2017 01:17:48;False;0.3347951549514735;False;True
627;82327674;3366166505;1375614;1.0;10.08.2017 01:00:06;True;0.22636343602117323;False;False
635;72312627;3372622939;2163;1.0;13.08.2017 01:17:48;True;0.9289354800277289;True;True
636;148215639;3372269708;3331948;1.0;12.08.2017 20:33:56;True;0.8655470393352707;True;True
637;90892734;3369930606;5;1.0;11.08.2017 21:19:50;False;0.17379940037791217;False;True
638;72312627;3367897602;2163;1.0;10.08.2017 21:27:56;True;0.8711229073286564;True;True
642;148215639;3354123160;3331948;1.0;04.08.2017 00:29:10;True;0.8808333234312061;True;True
