;account_id;match_id;team_id;role;datetime;win;win_prob;prediction;isCorrect
0;94155156;3149572447;2586976;5.0;30.04.2017 22:09:06;True;0.689939958145;True;True
2;103735745;3144980236;4251435;5.0;28.04.2017 18:56:43;False;0.0355774889197;False;True
3;94155156;3144607791;2586976;5.0;28.04.2017 15:51:09;False;0.0372782083679;False;True
5;82262664;3142860818;2163;5.0;27.04.2017 16:00:15;True;0.867502226516;True;True
10;92949094;3138060601;26;5.0;24.04.2017 20:09:41;False;0.353634133901;False;True
12;92949094;3137130045;26;5.0;24.04.2017 10:12:28;False;0.104356781825;False;True
14;140153524;3119672623;5;5.0;15.04.2017 14:57:40;False;0.899801736136;True;False
17;102644565;3102913143;4253054;5.0;07.04.2017 09:54:35;False;0.383775169204;False;True
18;87196890;3091016058;3214108;5.0;01.04.2017 13:29:39;False;0.361905441808;False;True
19;91064780;3085810717;3332295;5.0;29.03.2017 22:01:33;True;0.981302033441;True;True
20;87196890;3084691162;3214108;5.0;29.03.2017 11:29:10;False;0.113483128939;False;True
22;87196890;3084475590;3214108;5.0;29.03.2017 08:50:30;False;0.0158118164295;False;True
24;91064780;3083533461;3332295;5.0;28.03.2017 18:00:42;True;0.732275266296;True;True
25;25907144;3082689492;39;5.0;28.03.2017 10:03:44;False;0.717368210625;True;False
26;25907144;3082594701;39;5.0;28.03.2017 08:53:45;True;0.755716862819;True;True
28;25907144;3081124433;39;5.0;27.03.2017 14:12:54;False;0.111682035753;False;True
29;82262664;3080872675;2163;5.0;27.03.2017 11:31:23;False;0.0169175863473;False;True
31;87196890;3080691275;3214108;5.0;27.03.2017 09:19:59;True;0.312414732911;False;False
38;102644565;3066693169;4253054;5.0;20.03.2017 13:02:44;False;0.00945319561963;False;True
40;26682464;3065714485;2533075;5.0;19.03.2017 22:01:36;False;0.727046250274;True;False
42;145550466;3061167739;2512249;5.0;17.03.2017 23:55:27;False;0.366358277969;False;True
44;114239371;3054282641;3331948;5.0;14.03.2017 09:58:39;True;0.603945999956;True;True
48;85805514;3053559844;2512249;5.0;13.03.2017 20:58:59;False;0.256001050075;False;True
52;114239371;3052338284;3331948;5.0;13.03.2017 08:01:19;False;0.360167409036;False;True
53;140153524;3052273647;5;5.0;13.03.2017 06:59:35;False;0.168651949599;False;True
54;84853828;3052047947;3580606;5.0;13.03.2017 02:19:19;False;0.211253338926;False;True
56;109512357;3050737359;36;5.0;12.03.2017 13:00:58;False;0.232387369832;False;True
58;85805514;3049689001;2512249;5.0;12.03.2017 01:13:31;True;0.849830547745;True;True
59;85805514;3049450575;2512249;5.0;11.03.2017 22:14:38;True;0.886938194285;True;True
62;110620360;3047573379;3018001;5.0;11.03.2017 06:09:06;False;0.441025193035;False;True
63;86750028;3047508602;370775;5.0;11.03.2017 05:14:47;False;0.0270559361953;False;True
64;87196890;3047222869;3214108;5.0;11.03.2017 00:00:39;True;0.98395358466;True;True
68;134556694;3046758563;1883502;5.0;10.03.2017 18:55:58;True;0.656461259428;True;True
69;86750028;3046318564;370775;5.0;10.03.2017 15:38:27;False;0.0218633890766;False;True
71;49317728;3033038349;3;5.0;03.03.2017 23:21:13;False;0.0143176732325;False;True
129;25907144;3147569106;39;5.0;30.04.2017 00:39:15;True;0.873954748958;True;True
130;84853828;3147338543;3580606;5.0;29.04.2017 21:31:07;False;0.8250099343;True;False
133;25907144;3145102364;39;5.0;28.04.2017 20:06:18;True;0.942274983909;True;True
137;82262664;3142741991;2163;5.0;27.04.2017 14:49:43;False;0.21674389667;False;True
141;82262664;3139858272;2163;5.0;25.04.2017 20:57:42;True;0.96301761387;True;True
150;82262664;3138003121;2163;5.0;24.04.2017 19:29:09;True;0.886275793272;True;True
152;145550466;3137824197;2512249;5.0;24.04.2017 17:39:23;False;0.294153519357;False;True
159;84853828;3137147095;3580606;5.0;24.04.2017 10:25:39;False;0.0499605534931;False;True
160;103940975;3137048517;2640025;5.0;24.04.2017 09:04:10;True;0.829534530728;True;True
164;103940975;3117077292;2640025;5.0;14.04.2017 10:12:27;True;0.636314528099;True;True
169;103940975;3113523591;2640025;5.0;12.04.2017 13:12:16;True;0.896658989712;True;True
170;114239371;3113338204;3331948;5.0;12.04.2017 11:01:46;False;0.112835520307;False;True
368;134556694;3149572447;1883502;5.0;30.04.2017 22:09:06;False;0.662123705155;True;False
369;94155156;3149480550;2586976;5.0;30.04.2017 21:05:09;True;0.705479059262;True;True
370;134556694;3149353238;1883502;5.0;30.04.2017 19:46:31;True;0.907979259816;True;True
371;134556694;3149215336;1883502;5.0;30.04.2017 18:32:13;True;0.571966536517;True;True
372;134556694;3149054430;1883502;5.0;30.04.2017 17:12:22;False;0.688557303731;True;False
373;25907144;3148575443;39;5.0;30.04.2017 13:12:18;False;0.0698032659244;False;True
374;140153524;3148357328;5;5.0;30.04.2017 11:13:45;False;0.43424730245;False;True
377;140153524;3146197371;5;5.0;29.04.2017 11:09:14;False;0.0437736486609;False;True
379;6922000;3145229865;1838315;5.0;28.04.2017 21:29:36;True;0.995078282408;True;True
382;85805514;3143205143;2512249;5.0;27.04.2017 19:12:51;False;0.318047880211;False;True
384;140153524;3142583303;5;5.0;27.04.2017 12:50:51;True;0.868438563168;True;True
385;89603649;3139950764;3326875;5.0;25.04.2017 22:13:55;False;0.00758476130662;False;True
